case_id,activity,event_timestamp,actor,case_attributes
FT-COM-2025-00001,Submit Commercial Application,2025-05-01 11:21:46,Corporate Client,entity_type=LP;outcome=approved
FT-COM-2025-00001,Conduct RM Welcome & Handoff,2025-05-07 11:21:46,Relationship Manager,entity_type=LP;outcome=approved
FT-COM-2025-00002,Submit Commercial Application,2025-05-01 10:51:12,Corporate Client,entity_type=Corp;risk_flag=pep_hit;outcome=approved
FT-COM-2025-00002,Conduct RM Welcome & Handoff,2025-05-12 16:51:12,Relationship Manager,entity_type=Corp;risk_flag=pep_hit;outcome=approved
FT-COM-2025-00003,Submit Commercial Application,2025-05-03 19:39:04,Corporate Client,entity_type=LLC;outcome=approved
FT-COM-2025-00003,Conduct RM Welcome & Handoff,2025-05-09 17:39:04,Relationship Manager,entity_type=LLC;outcome=approved
FT-COM-2025-00004,Submit Commercial Application,2025-05-03 23:33:57,Corporate Client,entity_type=Partnership;outcome=approved
FT-COM-2025-00004,Conduct RM Welcome & Handoff,2025-05-10 22:33:57,Relationship Manager,entity_type=Partnership;outcome=approved
FT-COM-2025-00005,Submit Commercial Application,2025-05-04 04:16:55,Corporate Client,entity_type=LP;outcome=approved
FT-COM-2025-00005,Conduct RM Welcome & Handoff,2025-05-11 13:16:55,Relationship Manager,entity_type=LP;outcome=approved
FT-COM-2025-00006,Submit Commercial Application,2025-05-05 16:56:02,Corporate Client,entity_type=Corp;outcome=approved
FT-COM-2025-00006,Conduct RM Welcome & Handoff,2025-05-14 07:56:02,Relationship Manager,entity_type=Corp;outcome=approved
FT-COM-2025-00007,Submit Commercial Application,2025-05-03 14:43:45,Corporate Client,entity_type=Corp;outcome=approved
FT-COM-2025-00007,Conduct RM Welcome & Handoff,2025-05-11 23:43:45,Relationship Manager,entity_type=Corp;outcome=approved
FT-COM-2025-00008,Submit Commercial Application,2025-05-04 04:55:15,Corporate Client,entity_type=LLC;risk_flag=pep_hit;outcome=approved
FT-COM-2025-00008,Conduct RM Welcome & Handoff,2025-05-17 06:55:15,Relationship Manager,entity_type=LLC;risk_flag=pep_hit;outcome=approved
FT-COM-2025-00009,Submit Commercial Application,2025-05-06 23:08:11,Corporate Client,entity_type=LLC;outcome=abandoned
FT-COM-2025-00010,Submit Commercial Application,2025-05-07 05:55:34,Corporate Client,entity_type=LLC;outcome=approved
FT-COM-2025-00010,Conduct RM Welcome & Handoff,2025-05-10 22:55:34,Relationship Manager,entity_type=LLC;outcome=approved
FT-COM-2025-00011,Submit Commercial Application,2025-05-07 00:01:30,Corporate Client,entity_type=Corp;outcome=approved
FT-COM-2025-00011,Conduct RM Welcome & Handoff,2025-05-11 07:01:30,Relationship Manager,entity_type=Corp;outcome=approved
FT-COM-2025-00012,Submit Commercial Application,2025-05-08 04:03:57,Corporate Client,entity_type=LLC;outcome=approved
FT-COM-2025-00012,Conduct RM Welcome & Handoff,2025-05-15 13:03:57,Relationship Manager,entity_type=LLC;outcome=approved
FT-COM-2025-00013,Submit Commercial Application,2025-05-08 17:56:12,Corporate Client,entity_type=Partnership;outcome=approved
FT-COM-2025-00013,Conduct RM Welcome & Handoff,2025-05-14 00:56:12,Relationship Manager,entity_type=Partnership;outcome=approved
FT-COM-2025-00014,Submit Commercial Application,2025-05-08 04:35:24,Corporate Client,entity_type=LP;outcome=approved
FT-COM-2025-00014,Conduct RM Welcome & Handoff,2025-05-15 11:35:24,Relationship Manager,entity_type=LP;outcome=approved
FT-COM-2025-00015,Submit Commercial Application,2025-05-09 07:53:33,Corporate Client,entity_type=Partnership;outcome=approved
FT-COM-2025-00015,Conduct RM Welcome & Handoff,2025-05-15 07:53:33,Relationship Manager,entity_type=Partnership;outcome=approved
FT-COM-2025-00016,Submit Commercial Application,2025-05-11 08:59:09,Corporate Client,entity_type=LLC;outcome=approved
FT-COM-2025-00016,Conduct RM Welcome & Handoff,2025-05-16 08:59:09,Relationship Manager,entity_type=LLC;outcome=approved
FT-COM-2025-00017,Submit Commercial Application,2025-05-10 00:01:08,Corporate Client,entity_type=Corp;outcome=approved
FT-COM-2025-00017,Conduct RM Welcome & Handoff,2025-05-15 20:01:08,Relationship Manager,entity_type=Corp;outcome=approved
FT-COM-2025-00018,Submit Commercial Application,2025-05-12 19:32:30,Corporate Client,entity_type=Corp;outcome=approved
FT-COM-2025-00018,Conduct RM Welcome & Handoff,2025-05-18 18:32:30,Relationship Manager,entity_type=Corp;outcome=approved
FT-COM-2025-00019,Submit Commercial Application,2025-05-13 08:43:09,Corporate Client,entity_type=LP;outcome=approved
FT-COM-2025-00019,Conduct RM Welcome & Handoff,2025-05-19 02:43:09,Relationship Manager,entity_type=LP;outcome=approved
FT-COM-2025-00020,Submit Commercial Application,2025-05-12 05:00:02,Corporate Client,entity_type=Partnership;outcome=approved
FT-COM-2025-00020,Conduct RM Welcome & Handoff,2025-05-18 02:00:02,Relationship Manager,entity_type=Partnership;outcome=approved
FT-COM-2025-00021,Submit Commercial Application,2025-05-13 15:30:24,Corporate Client,entity_type=Partnership;outcome=approved
FT-COM-2025-00021,Conduct RM Welcome & Handoff,2025-05-18 21:30:24,Relationship Manager,entity_type=Partnership;outcome=approved
FT-COM-2025-00022,Submit Commercial Application,2025-05-14 03:42:37,Corporate Client,entity_type=Partnership;outcome=approved
FT-COM-2025-00022,Conduct RM Welcome & Handoff,2025-05-18 09:42:37,Relationship Manager,entity_type=Partnership;outcome=approved
FT-COM-2025-00023,Submit Commercial Application,2025-05-15 05:36:42,Corporate Client,entity_type=LLC;outcome=approved
FT-COM-2025-00023,Conduct RM Welcome & Handoff,2025-05-19 10:36:42,Relationship Manager,entity_type=LLC;outcome=approved
FT-COM-2025-00024,Submit Commercial Application,2025-05-15 19:41:47,Corporate Client,entity_type=Corp;outcome=abandoned
FT-COM-2025-00025,Submit Commercial Application,2025-05-16 12:02:44,Corporate Client,entity_type=LP;outcome=approved
FT-COM-2025-00025,Conduct RM Welcome & Handoff,2025-05-22 15:02:44,Relationship Manager,entity_type=LP;outcome=approved
FT-COM-2025-00026,Submit Commercial Application,2025-05-15 15:33:16,Corporate Client,entity_type=LLC;outcome=approved
FT-COM-2025-00026,Conduct RM Welcome & Handoff,2025-05-21 18:33:16,Relationship Manager,entity_type=LLC;outcome=approved
FT-COM-2025-00027,Submit Commercial Application,2025-05-16 00:07:02,Corporate Client,entity_type=LLC;outcome=approved
FT-COM-2025-00027,Conduct RM Welcome & Handoff,2025-05-22 18:07:02,Relationship Manager,entity_type=LLC;outcome=approved
FT-COM-2025-00028,Submit Commercial Application,2025-05-16 23:20:22,Corporate Client,entity_type=Partnership;outcome=approved
FT-COM-2025-00028,Conduct RM Welcome & Handoff,2025-05-23 05:20:22,Relationship Manager,entity_type=Partnership;outcome=approved
FT-COM-2025-00029,Submit Commercial Application,2025-05-18 14:06:11,Corporate Client,entity_type=LP;outcome=approved
FT-COM-2025-00029,Conduct RM Welcome & Handoff,2025-05-24 23:06:11,Relationship Manager,entity_type=LP;outcome=approved
FT-COM-2025-00030,Submit Commercial Application,2025-05-18 09:57:18,Corporate Client,entity_type=Corp;outcome=approved
FT-COM-2025-00030,Conduct RM Welcome & Handoff,2025-05-26 03:57:18,Relationship Manager,entity_type=Corp;outcome=approved
FT-COM-2025-00031,Submit Commercial Application,2025-05-18 21:52:25,Corporate Client,entity_type=LP;outcome=approved
FT-COM-2025-00031,Conduct RM Welcome & Handoff,2025-05-25 03:52:25,Relationship Manager,entity_type=LP;outcome=approved
FT-COM-2025-00032,Submit Commercial Application,2025-05-21 12:33:04,Corporate Client,entity_type=Corp;outcome=approved
FT-COM-2025-00032,Conduct RM Welcome & Handoff,2025-05-26 22:33:04,Relationship Manager,entity_type=Corp;outcome=approved
FT-COM-2025-00033,Submit Commercial Application,2025-05-21 13:51:29,Corporate Client,entity_type=Corp;outcome=approved
FT-COM-2025-00033,Conduct RM Welcome & Handoff,2025-05-26 12:51:29,Relationship Manager,entity_type=Corp;outcome=approved
FT-COM-2025-00034,Submit Commercial Application,2025-05-21 19:48:04,Corporate Client,entity_type=LLC;outcome=approved
FT-COM-2025-00034,Conduct RM Welcome & Handoff,2025-05-28 06:48:04,Relationship Manager,entity_type=LLC;outcome=approved
FT-COM-2025-00035,Submit Commercial Application,2025-05-20 20:12:14,Corporate Client,entity_type=LLC;outcome=approved
